objectid,filename,title,description,format,film_format,film_manufacturer,film_stock_name,film_iso,film_type,photographer,camera,lens_focal_length,flash,orientation,exposure_number,interior_or_exterior,date,location,latitude,longitude,subject,developer,resolution
f-11,Color 2-20.jpg,Passed The Vibe Check,A photo of myself with one of the cast members from Riverside Theatre's production of Primary Trust who played Kenneth,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Zafyre Sexton,Nikon N90s,60mm,no,horizontal,1,interior,2026-03,"Iowa City, IA; Riverside Theatre; dressing rooms",41.65882,-91.53381,friend; coworker; Primary Trust,Reformed Film Lab,3130 x 2075
f-12,Color 2-28.jpg,Theatre In A Flurry,A photo of Riverside Theatre in a snow flurry durig the run of Primary Trust,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,60mm,no,vertical,1,exterior,2026-03,"Iowa City, IA; Pedestrian Mall; Riverside Theatre",41.65882,-91.53381,Riverside Theatre; Primary Trust,Reformed Film Lab,2075 x 3130
f-13,Color 2-36.jpg,Adán In A Shelter,A photo of my now boyfriend on a during a date at City Park. He is walking on a bench seat like a tightrope.,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,60mm,no,vertical,1,exterior,2026-03,"Iowa City, IA; City Park",41.67457,-91.53621,boyfriend,Reformed Film Lab,2075 x 3130
f-14,Fuji 400 1-5.jpg,Korra Stuns,A photo of my younger cat Korra on my carpet.,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,60mm,no,vertical,1,interior,2026-01,"Iowa City, IA; Brody's Apartment",41.65314,-91.54152,cat; Korra,Reformed Film Lab,2075 x 3130
f-15,Fuji 400 1-20.jpg,Children,A double-exposure of my two cats laying in similar poses but in opposite directions,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,60mm,no,horizontal,2,interior,2026-01,"Iowa City, IA; Brody's Apartment",41.65314,-91.54152,cat; Korra; Tyrion,Reformed Film Lab,3130 x 2075
f-16,Fuji 400 1-25.jpg,Iowa,"A photo of the Old Capitol building's rotunda taken with a telephoto lens from inside my balcony, through my window.",image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,170-500mm,no,horizontal,1,interior,2026-01,"Iowa City, IA; Brody's Apartment",41.65314,-91.54152,Old Capitol Building,Reformed Film Lab,3130 x 2075
f-17,Fuji 400 2-29.jpg,Stage Manager In Red,A photo of the stage manager for The Mousetrap at Riverside Theatre helping me re-learn how to use my caera by posing,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,24-120mm,no,vertical,1,interior,2025-11,"Iowa City, IA; Riverside Theatre; Lobby",41.65882,-91.53381,friend; coworker; boss; The Mousetrap,Reformed Film Lab,2075 x 3130
f-18,Lomo 92-2.jpg,Final Cast and Crew Night Out,Most of the cast of Riverside Theatre's The Mousetrap after closing night,image/jpeg,35mm,Lomography,Lomo '92 Sunkissed,400,color,Hannah Green,Nikon N90s,24mm,yes,horizontal,1,interior,2025-12,"Iowa City, IA; George's Buffet",41.6637,-91.53116,friend; coworker; boss; The Mousetrap; Brody,Reformed Film Lab,3130 x 2075
f-19,Lomo 92-14.jpg,Bestie Finally Visits,The only person I knew in the state of Iowa before moving here at a very short meeting before one of The Mousetrap's shows,image/jpeg,35mm,Lomography,Lomo '92 Sunkissed,400,color,unknown,Nikon N90s,24mm,no,horizontal,1,interior,2025-12,"Iowa City, IA; NODO Downtown",41.66098,-91.53337,friend; Brody,Reformed Film Lab,3130 x 2075
f-20,Lomo 92-16.jpg,Lunch,Four members of the cast of The Mousetrap at NODO during lunch on a tech-week day,image/jpeg,35mm,Lomography,Lomo '92 Sunkissed,400,color,Brody Butler,Nikon N90s,24mm,yes,horizontal,1,interior,2025-12,"Iowa City, IA; NODO Downtown",41.66098,-91.53337,friend; coworker; The Mousetrap,Reformed Film Lab,3130 x 2075
f-21,Lomo 92-24.jpg,"Library, Underexposed","A photo of UIowa's Main Library taken from across the street at night. The exposure was long, but not long enough.",image/jpeg,35mm,Lomography,Lomo '92 Sunkissed,400,color,Brody Butler,Nikon N90s,24mm,no,horizontal,1,exterior,2025-12,"Iowa City, IA; UIowa Main Library; W Burlington St",41.65782,-91.53823,snow; UIowa Main Library,Reformed Film Lab,3130 x 2075
f-22,Lomo 92-26.jpg,The Forbidden Water Slide,"The spillway I walk over and the bridge over it, all covered in snow",image/jpeg,35mm,Lomography,Lomo '92 Sunkissed,400,color,Brody Butler,Nikon N90s,24mm,no,horizontal,1,exterior,2025-12,"Iowa City, IA; Hydroscience and Engineering Building; W Burlington St Bridge",41.65772,-91.54154,snow; river; bridge,Reformed Film Lab,3130 x 2075
f-23,Portra-6.jpg,"Fine, You Can Take A Photo",A photo of me taken by my now boyfriend,image/jpeg,35mm,Kodak,Portra,400,color,Adán Reyes Salas,Nikon N90s,60mm,no,horizontal,1,exterior,2026-03,"Iowa City, IA; City Park",41.67629,-91.53717,Brody,Reformed Film Lab,3130 x 2075
f-24,Portra-12.jpg,Who Needs A Tripod When You Have Love (And A Bench),A self portrait of my now boyfriend and myself on the bank of the Iowa River,image/jpeg,35mm,Kodak,Portra,400,color,Brody Butler,Nikon N90s,60mm,no,horizontal,1,exterior,2026-03,"Iowa City, IA; City Park",41.67667,-91.53661,boyfriend; brody; river; tree,Reformed Film Lab,3130 x 2075
f-25,Portra-14.jpg,We Should Take This Again When The Grass Grows Back,A photo of the shadow cast by my now boyfriend and I holding hands,image/jpeg,35mm,Kodak,Portra,400,color,Brody Butler,Nikon N90s,60mm,no,horizontal,1,exterior,2026-03,"Iowa City, IA; City Park",41.67425,-91.53699,boyfriend; Brody; shadow,Reformed Film Lab,3130 x 2075
f-26,Portra-15.jpg,"Hey, That's Where We Are Right Now",My now boyfriend and the City Park sign near the playground and Riverside stage,image/jpeg,35mm,Kodak,Portra,400,color,Brody Butler,Nikon N90s,60mm,no,horizontal,1,exterior,2026-03,"Iowa City, IA; City Park",41.67424,-91.53926,boyfriend; City Park sign,Reformed Film Lab,3130 x 2075
f-27,Portra-27.jpg,The One In Which The Autofocus Worked,Me and My now boyfriend together at a little park near where he lives.,image/jpeg,35mm,Kodak,Portra,400,color,Brody Butler,Nikon N90s,60mm,no,horizontal,1,exterior,2026-03,"Iowa City, IA; Whispering Meadows Wetlands",41.63293,-91.49843,boyfriend; self-portrait; Brody,Reformed Film Lab,3130 x 2075
